righthandX,righthandY,righthandZ,headX,headY,headZ,lefthandX,lefthandY,lefthandZ
0.303262901,0.92841007,0.21467733,-0.10456383,0.973305453,0.204310794,-0.462964643,0.845511533,0.266033809
0.305376668,0.927083814,0.217395246,-0.083618048,0.97532152,0.204342738,-0.465717887,0.844457229,0.264572935
0.299913982,0.926790609,0.226076914,-0.098139928,0.971573329,0.215438673,-0.469852662,0.838826066,0.274971466
0.314413783,0.919199813,0.237098453,-0.115412973,0.967161435,0.226447795,-0.47142604,0.839756972,0.269380245
0.309418489,0.923644957,0.226141972,-0.128180131,0.966603156,0.221919339,-0.482565916,0.834316086,0.266546067
0.318503549,0.920763321,0.225278485,-0.13362754,0.964050958,0.229672443,-0.469037728,0.838282254,0.278004446
0.308972144,0.923940508,0.225544123,-0.136456987,0.963272395,0.231269935,-0.467416517,0.838579799,0.279831591
0.316882662,0.924849427,0.210330493,-0.153766188,0.968918108,0.193787666,-0.491103578,0.834354554,0.250339279
0.292634748,0.929024919,0.226445586,-0.170048011,0.959053121,0.226496766,-0.504387677,0.817749057,0.277271619
0.293644488,0.929600183,0.222747421,-0.180286009,0.957159578,0.226588829,-0.491502872,0.825299296,0.278039562
0.275418962,0.936253451,0.218114353,-0.197269926,0.956351641,0.215583197,-0.492731379,0.824384014,0.278579945
0.246030628,0.949091493,0.196708587,-0.185708169,0.962756371,0.196501008,-0.479180256,0.840272427,0.253630698
0.208237242,0.960484732,0.184678996,-0.214985629,0.957898309,0.190294532,-0.472911975,0.844915011,0.24994577
0.175872487,0.957525295,0.228504217,-0.216338935,0.941989675,0.256618231,-0.445353192,0.837752206,0.315961667
0.166876507,0.963534012,0.209175619,-0.213179563,0.950624912,0.225536584,-0.447942937,0.842934987,0.298006264
0.164211314,0.963521781,0.211330126,-0.208002824,0.949644998,0.234327128,-0.461388636,0.833287385,0.304553216
0.135021308,0.964154444,0.22841947,-0.218248866,0.947465244,0.23383123,-0.449025515,0.836155379,0.314992491
0.105244008,0.964336978,0.242853643,-0.207237197,0.937794912,0.278556003,-0.461072801,0.807893653,0.367041847
0.08132781,0.970637528,0.226381483,-0.199693511,0.94787838,0.248292324,-0.477615602,0.809641422,0.341121832
0.108637031,0.974182589,0.197904721,-0.16736711,0.961397785,0.218409134,-0.466363054,0.826648204,0.314894027
0.098023181,0.975764304,0.195641202,-0.165372592,0.955737889,0.243345418,-0.468561805,0.814423857,0.342291711
0.093014376,0.9773249,0.190221885,-0.155347177,0.960306733,0.231685632,-0.495955159,0.808124101,0.317748199
0.085085426,0.966239204,0.24319184,-0.144019847,0.958875069,0.244574908,-0.482913597,0.808510346,0.336311578
0.080708113,0.972273718,0.219476692,-0.153149832,0.960696129,0.231534179,-0.497463463,0.805320251,0.322473869
0.103188455,0.965591702,0.238714909,-0.134135387,0.960509913,0.24377942,-0.484629991,0.810951089,0.327859883
0.115854911,0.968188408,0.221785588,-0.128221183,0.959847906,0.249502156,-0.491007386,0.80529263,0.332288318
0.091455954,0.968951143,0.22971611,-0.138452628,0.967558942,0.211330462,-0.468581225,0.834442862,0.290063347
0.163393415,0.973627696,0.159222179,-0.188175525,0.96273542,0.19424336,-0.435398224,0.862577398,0.257659891
0.176446352,0.972611902,0.151303579,-0.234243861,0.946106472,0.223634426,-0.399769837,0.871942371,0.282666903
0.180179327,0.973912722,0.137947166,-0.237186497,0.951238533,0.197199948,-0.392820664,0.879247733,0.269472357
0.189135741,0.968198058,0.163768713,-0.237753666,0.946101782,0.219919559,-0.390763858,0.872962173,0.291960019
0.197165623,0.966320078,0.165382051,-0.242683425,0.939961666,0.239951706,-0.376641791,0.87538178,0.303063857
0.162612424,0.970545977,0.177757438,-0.252867887,0.927552106,0.275145274,-0.363240312,0.874739046,0.320761715
0.192034725,0.970931917,0.142877142,-0.257778855,0.940457362,0.221562658,-0.389340988,0.872449799,0.295372551
0.195254226,0.97315515,0.121839404,-0.240379607,0.948818144,0.204845732,-0.389286348,0.876826184,0.282191393
0.187100066,0.96865228,0.1634207,-0.243747478,0.92854221,0.279993805,-0.366349848,0.874199763,0.318688819
0.194836007,0.971455214,0.135328112,-0.230000651,0.940368505,0.250612799,-0.370788307,0.878987522,0.299828229
0.190451447,0.969484079,0.154366018,-0.233734831,0.939292161,0.251193681,-0.372406305,0.879921068,0.295046537
0.17921695,0.970122503,0.163534748,-0.221569386,0.947557103,0.230309668,-0.372081781,0.87745281,0.302707308
0.198940368,0.963715312,0.177976201,-0.185003549,0.957904875,0.219526621,-0.397417727,0.871504336,0.287296612
0.216533284,0.95690122,0.193528787,-0.158273206,0.965688439,0.205901506,-0.403045541,0.870346028,0.282934769
0.212879523,0.954727983,0.207790249,-0.129224796,0.969806292,0.206825309,-0.416841189,0.861477158,0.290000914
0.222427313,0.957162184,0.185382427,-0.112063702,0.975813021,0.187698363,-0.425042088,0.867956134,0.256887858
0.239494453,0.94742911,0.212180322,-0.098732406,0.97144162,0.215761652,-0.421545212,0.864321386,0.274314009
0.264613908,0.948597051,0.173617725,-0.111500044,0.979330305,0.168759874,-0.41958518,0.87573003,0.238841352
0.281087408,0.936807403,0.208282881,-0.127253735,0.975169996,0.181245595,-0.444429166,0.86375426,0.23751062
0.287386839,0.935726664,0.204510185,-0.103055406,0.974160325,0.200975732,-0.433916607,0.867900982,0.241793845
0.300880941,0.924355906,0.234599273,-0.128987088,0.969822208,0.206899049,-0.442342906,0.86197805,0.24764207
0.307038749,0.925525669,0.221651623,-0.107808778,0.97554702,0.191534015,-0.449204491,0.862845429,0.231760849
0.318504858,0.913689691,0.252439703,-0.111299753,0.971568202,0.208967923,-0.440789884,0.863595056,0.244760818
